# Logfile created on 2018-01-29 20:39:43 +1100 by logger.rb/54362
I, [2018-01-29T20:39:44.109032 #38957]  INFO -- : (0.000362s) CREATE TABLE `webhook_executions`(`id` integer DEFAULT (NULL) NOT NULL PRIMARY KEY AUTOINCREMENT, `webhook_id` integer DEFAULT (NULL) NULL, `pact_publication_id` integer DEFAULT (NULL) NULL, `consumer_id` integer DEFAULT (NULL) NOT NULL, `provider_id` integer DEFAULT (NULL) NOT NULL, `success` Boolean DEFAULT (NULL) NOT NULL, `logs` mediumtext DEFAULT (NULL) NULL, `created_at` timestamp DEFAULT (NULL) NOT NULL, `triggered_webhook_id` integer DEFAULT (NULL) NULL, FOREIGN KEY (`triggered_webhook_id`) REFERENCES `triggered_webhooks` ON DELETE NO ACTION ON UPDATE NO ACTION, FOREIGN KEY (`provider_id`) REFERENCES `pacticipants` ON DELETE NO ACTION ON UPDATE NO ACTION, FOREIGN KEY (`consumer_id`) REFERENCES `pacticipants` ON DELETE NO ACTION ON UPDATE NO ACTION, FOREIGN KEY (`pact_publication_id`) REFERENCES `pact_publications` ON DELETE NO ACTION ON UPDATE NO ACTION, FOREIGN KEY (`webhook_id`) REFERENCES `webhooks` ON DELETE NO ACTION ON UPDATE NO ACTION)
I, [2018-01-29T20:39:44.109498 #38957]  INFO -- : (0.000188s) INSERT INTO `webhook_executions`(`id`, `webhook_id`, `pact_publication_id`, `consumer_id`, `provider_id`, `success`, `logs`, `created_at`, `triggered_webhook_id`) SELECT `id`, `webhook_id`, `pact_publication_id`, `consumer_id`, `provider_id`, `success`, `logs`, `created_at`, `triggered_webhook_id` FROM `webhook_executions_backup0`
I, [2018-01-29T20:39:44.109802 #38957]  INFO -- : (0.000207s) DROP TABLE `webhook_executions_backup0`
I, [2018-01-29T20:39:44.110328 #38957]  INFO -- : (0.000334s) PRAGMA table_info('webhook_executions')
I, [2018-01-29T20:39:44.110713 #38957]  INFO -- : (0.000231s) PRAGMA foreign_key_list('webhook_executions')
I, [2018-01-29T20:39:44.110892 #38957]  INFO -- : (0.000060s) PRAGMA index_list('webhook_executions')
I, [2018-01-29T20:39:44.111709 #38957]  INFO -- : (0.000075s) SAVEPOINT autopoint_1
E, [2018-01-29T20:39:44.111941 #38957] ERROR -- : SQLite3::SQLException: no such table: webhook_executions_backup0: SELECT NULL AS 'nil' FROM `webhook_executions_backup0` LIMIT 1
I, [2018-01-29T20:39:44.112481 #38957]  INFO -- : (0.000149s) ROLLBACK TO SAVEPOINT autopoint_1
I, [2018-01-29T20:39:44.117651 #38957]  INFO -- : (0.001402s) PRAGMA index_list('webhook_executions')
I, [2018-01-29T20:39:44.118487 #38957]  INFO -- : (0.000607s) ALTER TABLE `webhook_executions` RENAME TO `webhook_executions_backup0`
